Key,japanese
SpencerMansionSpawnText,"あなたはこれからスペンサー邸での出来事を一人称視点で体験する事になります。\n\nバイオハザードの体験を忠実に保つために、次の点に注意してください。\n1) 所持品は10スロットのみになるので、館内のアイテムボックスをご利用ください。\n2) ジャンプをする事は出来ません。\n3) ほとんどの敵は痛みを感じないため、いつもの戦い方では難しいかもしれません。\n4) 進行状況を保存するにはインクリボンが必要です。 (タイプライターで発見)\n\n[FFC800]より楽しいチャレンジになる用、周囲の音量を上げて、常に音楽を再生することをお勧めします。[-]\n\n[FFC800]意図したエクスペリエンスを実現するには、無関係な MOD を必ず削除してください。[-]\n\n[4FC3F7]まずは、青いバフを読んでください![-]"
Mod Not Installed Correctly,[FF4F00]Modが正しくインストールされていない[-]
ModNotInstalledCorrectlyText,"[FF4F00]この MOD は正しくインストールされておらず、MOD が 100% 機能するために必要な重要なファイルが欠落しています。[-]"
TwitchAction_SpawnCrawlerCommand,#crawler
TwitchAction_SpawnToughCommand,#spawn_tough
TwitchAction_SpawnSnakeCommand,#snake
TwitchAction_SpawnSpiderCommand,#web_spinner
TwitchAction_SpawnDogCommand,#cerberus
TwitchAction_SpawnCrimsonHeadCommand,#crimson_head
TwitchAction_SpawnForestSpeyerCommand,#forest_speyer
TwitchAction_SpawnHunterCommand,#hunter
TwitchAction_SpawncrimsonPrototypeCommand,#crimson_prototype
TwitchAction_SupplyAmmo9mmCommand,#handgun_x8
TwitchAction_SupplyGreenHerbCommand,#green_herb
TwitchAction_SupplyRedHerbCommand,#red_herb
TwitchAction_SupplyBlueHerbCommand,#blue_herb
TwitchAction_SupplyAmmoShellsCommand,#shotgun_x2
TwitchAction_SupplyAmmo44MagCommand,#magnum_x2
TwitchAction_SupplyAmmoRocketCommand,#rocket
TwitchAction_SupplyAmmoGrenadeCommand,#grenade
TwitchAction_SupplyAmmoMolotovCommand,#molotov
TwitchAction_SupplyFirstAidSprayCommand,#firstaidspray
TwitchAction_SupplyAmmo762Command,#rifle_x12
buffNewbieCoatNameRE,スペンサー邸事件の概要
buffNewbieCoatDescRE,"スペンサー邸事件は、他の MOD とは異なるユニークな 7 Days to Die 体験を提供します。\nここでは、定住に役立つ情報をいくつか紹介します。\n\n重大な怪我はないため、出血を心配する必要はありません。これを知っていると、利用可能な限られた治療薬を最大限に活用することに集中できます。\n\n在庫に注意してください。ハーブや弾薬は床に落ちて無駄になるため、いっぱいになったときに集めようとしないでください。\n\nここでは食料と水の心配をする必要はありません。いつでも満腹になっています。 ただし、炎上すると喉が渇きます。 完全に脱水状態になると、水源から水を飲まなければならず、病気になる危険性があります。\n\nゾンビはドアを開ける可能性があるので、自分が安全であると考えないでください。\n\nこの MOD はシングル プレイヤーを念頭に置いて作成されていますが、マルチプレイヤーでプレイする場合、潜在的にゲームが難しくなり、ソフト ロックが可能になる可能性があります。警告されています。"

tooltipJammed,([DECEA3]詰まった[-])
tooltipLocked,{1}
tooltipUnlocked,{1}
useBlock,{1}
harvestTip,ナイフを使ってゾンビ動物の皮を剥ぎ、硝酸塩を採取します。\n硝酸塩は火薬の製造に使用されます。
cntCashRegister,タイプライター
TheVault,アイテム収納ボックス
AmmoChest,弾薬クラフトバンドル\n(ヒットからピックアップまで)
ReloadingTool,リロードツール
Reloading_Tooldesc,弾薬をクラフトするために使用するツール。\n\nフィールドで弾薬を解体できるようになります。\n\n空きスロットがあることを確認してからクラフトしてください。
InkRibbon,インクリボン
InkRibbondesc,"現在は使用できませんが、 マニュアルセーブが実装されると、　進行状況をセーブするために必要になります。\n\nそれまでは保管しておいてください。"
DeathMaskDesc,この仮面専用の扉を開くために使用します。
MansionBattery,庭のドアを作動させるために使用します。
Green_Herb,グリーンハーブ
GreenHerbDesc,少量の体力回復。\n\n2秒間で体力を160回復します。\n\n医学知識: 2秒間で体力を216回復します。
Red_Herb,レッドハーブ
RedHerbdesc,グリーンハーブの効果を上げます。\n\nそのままでは使用できません。
MixedGreenHerbDesc,程よい量の体力回復。\n\n5秒間で体力を400回復します。\n\n医学知識: 5秒間で体力を540回復します。
Green+RedHerbDesc,多めの体力回復。\n\n9秒間で体力を720回復します。\n\n医学知識: 9秒間で体力を972回復します。
Blue_Herb,ブルーハーブ
BlueHerbDesc,毒の治療に使用します。\n\n1秒間で体力を80回復します。\n\n医学知識: 1秒間で体力を108回復します。
Yellow_Herb,イエローハーブ
YellowHerbDesc,"イエローハーブは信じられないほど希少で、摂取した人の体質を強化する奇跡的な特性を持っています。 (一回きり)\n\n最大体力+600。\n12秒ごとに体力が1自然回復します。\n\n(痛みへの耐性と受動的治癒のスタック)"
Green+BlueHerbDesc,少量の体力回復と解毒治療。\n\n3秒間で体力を240回復します。\n\n医学知識: 3秒間で体力を324回復します。
Green2+BlueHerbDesc,程よい量の体力回復と解毒治療。\n\n6秒間で体力を480回復します。\n\n医学知識: 6秒間で体力を648回復します。
Green+Red+BlueHerbDesc,多めの量の体力回復と解毒治療。\n\n10秒間で体力を800回復します。\n\n医学知識: 10秒間で体力を1080回復します。\n\n防御: この奇跡のハーブ混合物は、120 秒間、ダメージを 30% 軽減します。
FirstAidSprayDesc,完全に体力を回復します。\n\n20秒間で体力を1600回復します。\n\n医学知識: 20秒間で体力を2160回復します。
PowerSource,地下の台所近くにあるエレベーターを動かすために使用します。\n\n手に「鍵用アップグレードツール」を持ち、鞄内にスペンサー邸エレベーター用電源が入っている状態で館のエレベータードアを右クリックし、使用可能にします。
WolfBook,狼に関する、青色の本。
WolfMedal,狼のメダル。\n\n第二アクションで使用します。
EagleBook,鷲に関する、赤色の本。
EagleMedal,鷲のメダル。\n\n第二アクションで使用します。
"BookofCurses",呪いの本
BookOfCursesdesc,3階に落ちていた、気持ちの悪い本。\n手に持ち、第一アクション(左クリック)でお読みください。
"DogWhistle",犬笛
DogWhistledesc,犬を呼ぶために使用する笛。
"DogCollar",犬の首輪
DogCollardesc,何かに使えるのでしょうか？
Coin,コイン




Coindesc,犬の首輪の中に入っていたコイン。
Lighterdesc,小型光源としても使用可能。\n\n火炎瓶に火を点けるために使用します。
EmptyBaseBottledesc,充填する前に特定のボトルを作成します。
EmptyBottledesc,薬品を混ぜる際に使用します。\n\n第二アクションで汲むことが出来ます。
FilledBottledesc,液体が入っている瓶。
MixingBottledesc,2種類の液体が混ざっています。
VJoltdesc,プラント42を弱らせることが出来る薬品。\n\n[action:permanent:Activate]ボタンを押してご利用ください。
Crestdesc,六角形のクレスト。
BrokenShotgundesc,修理することが出来ないほど酷く破損しているショットガン。
Herbicidedesc,植物を枯らすために使用する薬品。
MetalObjectdesc,中庭へのドアを開くために使用する、八角形のオブジェ。
StoneRingdesc,八角形の石でできたリング。
MetalObject2desc,八角形の鉄のオブジェ。
StoneMetalObjectdesc,メインホールの階段の裏にあるドアを開くために使用します。
Cylinderdesc,くぼみにはめ込めば完成しそうだ。
Shaftdesc,リングのようなものが不足しているようです。
CylinderShaftdesc,採掘場の発電機を作動させます。
FuelSupplyEmptydesc,"電力源の燃料として使用する、空のカプセル。\n\n[FF4F00]注意してください！\nこの燃料の主成分はニトロ化合物と思われる。 「走る」と致命的な爆発を引き起こす可能性があります。[-]"
FuelSupplydesc,"シャッターの燃料を入れるために使用します。\n\n[FF4F00]注意してください！[-]\nこの燃料の主成分はニトロ化合物と思われる。 「走る」と致命的な爆発を引き起こす可能性があります。"
JewelryBox2desc,"不思議な箱、　何が入っているのでしょうか？"
JewelryBoxdesc,"鍵が外れましたので、中を見てみましょう。"
RedGemstonedesc,とても高そうな石です...
LockedBoxdesc,セキュリティロック
PrisonKey,"'MO'と書いてある、フロッピーディスク。"
GyrocopterDesc,"これで、研究室の出口からヘリポートに行くことができます。"
REkeys,インタラクトボタンを長押しし、ラジアルメニューからピッキングのオプションを選び、使用します。
Jill's_LockPick,"ジルのロックピック"
"SwordKey","剣の鍵"
"ArmourKey","鎧の鍵"
"ShieldKey","盾の鍵"
"HelmetKey","兜の鍵"
"EmblemKey","エンブレムの鍵"
"WolfBook","狼の本"
WolfMedal,狼のメダル
"EagleBook","鷲の本"
EagleMedal,鷲のメダル
"DeathMaskWithoutEyes","目が封じられた仮面"
"DeathMaskWithoutMouth","口が封じられた仮面"
"DeathMaskWithoutNose","鼻が封じられた仮面"
"DeathMaskWithoutAllThree","目鼻口が封じられた仮面"
"LaboratoryKey","研究所の鍵"
"MODisc",MOディスク
"EmptyBottle",空瓶
"EmptyWaterBottle",水　(空)
"EmptyUMB-No3Bottle",UMB-No3 (空)
"EmptyYellow-6Bottle",Yellow-6 (空)
WaterFilled,水 (満タン)
UMB-No3Filled,UMB-No3 (満タン)
Yellow-6Filled,Yellow-6 (満タン)
NP-004Filled,NP-004 (満タン)
UMB-No7Filled,UMB-No7 (満タン)
UMB-No10Filled,UMB-No10 (満タン)
VP-017Filled,VP-017 (満タン)
NP-004Mixed,NP-004 (ミックス)
UMB-No7Mixed,UMB-No7 (ミックス)
UMB-No10Mixed,UMB-No10 (ミックス)
VP-017Mixed,VP-017 (ミックス)
V-Jolt,V-Jolt
"WindCrest",ウィンドクレスト
"MoonCrest",ムーンクレスト
"StarCrest",スタークレスト
"SunCrest",サンクレスト
"BrokenShotgun",壊れたショットガン
Herbicide,除草剤
MetalObject,鉄製のオブジェ
StoneRing,石製のリング
MetalObject2,鉄製のオブジェ
"StoneandMetalObject",鉄と石製のオブジェ
"WD-40Spray",WD-40スプレー
"UnprintedBook",白紙の本
ClawHammer,クローハンマー
ClawhammerDesc,これで梯子を修理できる！
Battery,電池
Spraydesc,金属に使用する潤滑スプレー。
Cylinder,シリンダー
Shaft,シャフト
"CylinderShaft",シリンダーシャフト
"FuelSupplyCapsuleEmpty",燃料供給用カプセル(空)
"FuelSupplyCapsule",燃料供給用カプセル
Green_Herb,グリーンハーブ
"MixedGreenHerb",調合したハーブ (緑+緑)
"Mixed3GreenHerbs",調合したハーブ (緑+緑+緑)
"MixedGreen+RedHerb",調合したハーブ (緑+赤)
"MixedGreen+BlueHerb",調合したハーブ (緑+青)
"Mixed2Green+BlueHerb",調合したハーブ (緑+緑+青)
"MixedGreen+Red+BlueHerb",調合したハーブ (緑+赤+青)
Red_Herb,レッドハーブ
Blue_Herb,ブルーハーブ
FirstAidSpray,救急スプレー
FirstAidSprayBox,応急処置スプレーボックス
FirstAidSprayBoxDesc,"クラシックモードを実行している場合にのみ作成可能です。"
Military-GradeDuctTape,軍仕様ダクトテープ
JewelryBox2,宝石箱
"JewelryBox",宝石箱
"KeytoRoom001",001号室の鍵
"KeytoRoom003",003号室の鍵
"GalleryKey",絵画室の鍵
"ControlRoomKey",コントロール室の鍵
"RedGemstone",赤い宝石
"LockedJewelryBox",鍵のかかった宝石箱
"MasterKey",マスターキー

ttLockpickMissing,それはびくともしません...
DoubleMansionDoorBrown,ロック解除済み
DoubleMansionLockedDoorBrown,詰まった
DoubleShieldDoorBrown,ロックされています
DoubleMansionDoorBrownOld,ロック解除済み
commercialMansionWindowDoorBlue,ロック解除済み
commercialLockedMansionWindowDoorBlue,詰まった
commercialMansionWindowDoorGrey,ロック解除済み
commercialMansionDoorDoubleBlue,ロック解除済み
commercialLockedMansionDoubleDoorBlue,詰まった
commercialMansionDoorDoubleGrey,ロック解除済み
commercialMansionDoorBlue,ロック解除済み
commercialMansionMetalObjectDoorBlue,ロックされています
commercialLabMansionDoorBlue,ロックされています
commercialMansionDoorGrey,ロック解除済み
commercialMansionMasterDoorGrey,ロックされています
commercialMansionLockedDoorBlue,詰まった
ironMansionDoorGrey,ロック解除済み
ironMansionMOdisc1DoorGrey,ロックされています
ironMansionMOdisc2DoorGrey,ロックされています
ironMansionMOdisc3DoorGrey,ロックされています
ironMansionDoorOrange,ロック解除済み
ironMansionLockedDoorOrange,詰まった
ironControlDoorOrange,ロックされています
ironMansionLockableDoorGrey,詰まった
ironMansionDoorBlack,ロック解除済み
DoorThatSeesSpeaksSmellsNoEvil,ロックされています
DoorThatSmellsNoEvil,ロックされています
DoorThatSpeaksNoEvil,ロックされています
DoorThatSeesNoEvil,ロックされています
SingleMansionDoorBrown,ロック解除済み
SingleMansionDoorGrey,ロック解除済み
SingleArmourDoorGrey,ロックされています
SingleMansionDoorBrown2,ロック解除済み
SingleMansionDoorGrey2,ロック解除済み
SinglePlantRoomDoorGrey2,ロックされています
SingleLockedMansionDoorBrown,詰まった
SingleSwordDoorBrown,ロックされています
SingleSwordDoorWhite,ロックされています
SingleSwordDoorBrown2,ロックされています
SingleArmourDoorBrown,ロックされています
SingleTerraceDoorBrown,ロックされています
SingleClosetDoorBrown,ロックされています
SingleMansionDoorOldBrown,ロック解除済み
MansionArmourDoorOldBrown,ロックされています
MansionRoom001DoorOldBrown,ロックされています
MansionRoom003DoorOldBrown,ロックされています
MansionGalleryDoorOldBrown,ロックされています
SingleMansionDoorOldGrey,ロック解除済み
SingleSwordMansionDoorOldGrey,ロックされています
SingleSwordDoorOldBrown,ロックされています
SingleHelmetDoorWhite,ロックされています
SingleHelmetDoorBrown,ロックされています
SingleMansionDoorOldOak2,ロック解除済み
SingleMansionDoorOldGrey2,ロック解除済み
SingleLockedDoorOldGrey2,ロックされています
SingleLockedDoorOldoak2,ロックされています
SingleShieldDoorOldOak2,ロックされています
SingleBookDoorOldOak2,ロックされています
SingleEmblemDoorOldOak2,ロックされています
SinglePianoDoorOldOak2,ロックされています
IronLockedMansionDoorWhite,ロックされています
IronArmourMansionDoorWhite,ロックされています
jailMansionDoorWhite,ロック解除済み
DoubleMansionDoorWhite,ロック解除済み
DoubleMansionDoorWhiteOld,ロック解除済み
commercialMansionWindowDoorWhite,ロック解除済み
commercialMansionDoorDoubleWhite,ロック解除済み
commercialMansionDoorWhite,ロック解除済み
ironMansionDoorWhite,ロック解除済み
SingleMansionDoorWhite,ロック解除済み
SingleMansionDoorWhite2,ロック解除済み
SingleMansionDoorOldWhite,ロック解除済み
SingleMansionDoorOldWhite2,ロック解除済み
jailMansionDoorGrey,ロック解除済み
jailMansionUnpoweredDoorGrey,電源が入っていない
jailMansionLockedDoorGrey,詰まった
jailMansionDoorDoubleWhite,ロック解除済み
jailMansionDoorDoubleGrey,ロック解除済み
jailMansionLockedDoorDoubleGrey,詰まった
jailStoneObjectDoorDoubleGrey,ロックされています
oldMansionDoor,ロック解除済み
oldShieldDoor,ロックされています
oldMansionDoubleDoor,ロック解除済み
ironMansionDoorDoubleWhite,ロック解除済み
ironMansionDoorDoubleArmyGreen,ロック解除済み
ironMansionDoorDoubleBlack,ロック解除済み
ironMansionLabDoorDoubleBlack,ロックされています
ironMansionWD40DoorDoubleBlack,錆びた
ironMansionLockedDoorDoubleBlack,詰まった
ironArmourDoorDoubleArmyGreen,ロックされています
SingleWolfDoorBrown,ロックされています
SingleEagleDoorBrown,ロックされています
elevatorMansionGyroDoorDouble,ロックされています
elevatorMansionDoorDouble,ロック解除済み
GyrocopterRE,ジャイロコプター
GrandPiano,グランドピアノ
InsertWindCrest,入る風の紋章
InsertMoonCrest,入る月の紋章
InsertStarCrest,入る星の紋章
InsertSunCrest,入る太陽の紋章
InsertBrokenShotgun,壊れたショットガンを挿入する
"Plant42'sRoots",プラント42の根 - {0}
"Plant42'sPoisonedRootsHittoDestroy",毒を受けたプラント42の根(叩いて破壊)
"MineshaftHatchControlInsertCylinderShaft",マインシャフトハッチコントロール (シリンダーシャフトを入れる)
"MineshaftHatchControl",マインシャフトハッチコントロール
"LaboratoryComputer",研究所のコンピューター
"UnpoweredRollerShutterNeedsrefueling",燃料切れの自動シャッター (燃料が必要です)
"PoweredRollerShutter",自動シャッター
"Jill's Lunch and Lockpick (Hit to Pickup)",ジルのランチとロックピック (叩いて回収)
"AK-47HittoPickup",AK-47 (叩いて回収)
QuadRocketLauncherHittoPickup,クアッドロケットランチャー\n(叩いて回収)
LockedSuperRocket,まずスイッチを押してください

"PumpShotgunHittoPickup",ポンプショットガン\n(叩いて回収)
"AssaultShotgunBlock",アサルトショットガン\n(叩いて回収)
"MagnumRevolverHittoPickup",マグナムリボルバー\n(叩いて回収)
"RocketLauncherHittoPickup",ロケットランチャー\n(叩いて回収)
"HandgunAmmoHittoPickup",ハンドガンの弾\n(叩いて回収)
"ShotgunAmmoHittoPickup",ショットガンの弾\n(叩いて回収)
"MagnumAmmoHittoPickup",マグナムの弾\n(叩いて回収)
"RocketAmmoHittoPickup",ロケット弾\n(叩いて回収)
"GrenadeExplosiveHittoPickup",手榴弾ラウンド\n(叩いて回収)
"GrenadeAcidHittoPickup",アシッドラウンド\n(叩いて回収)
"GrenadeFlameHittoPickup",フレイムラウンド\n(叩いて回収)
"SuperRocket",ロケット弾\n(叩いて回収)
"AssaultRifleAmmoHittoPickup",アサルトライフル弾\n(叩いて回収)
"HandGrenadeHittoPickup",粘着手榴弾\n(叩いて回収)
"9mmBullet",9×19mmパラベラム弾
"Dismantle9mmAmmo",解体： 9×19mmパラベラム弾
"9mmHPBullet",ハイパワー9×19mmパラベラム弾
"44MagnumBullet",.357マグナム弾
"Dismantle.44 Ammo",解体： .357マグナム弾
"44MagnumHPBullet",ハイパワー.357マグナム弾
"762Bullet",7.62ライフル弾
"Dismantle7.62Ammo",解体： 7.62ライフル弾
"762HPBullet",ハイパワー7.62ライフル弾
"ShotgunShell",12ゲージショットガンシェル
"DismantleShotgunShells",解体： 12ゲージショットガンシェル
"ShotgunSlug",ショットガンスラッグ弾
LockedAmmoChest,ロックされた弾薬箱
AmmoChestCollect,弾薬クラフトバンドル (叩いて回収)
AmmoCraftingBundleDesc,"弾薬のクラフト用品が詰まった箱。\n\n以下の内容が含まれます。\n火薬2400。\n45 個の薬莢。\n45 個の箇条書きのヒント。\n15 バックショット。\n30 ポリマー。"
AmmoChestCollectDesc,"弾薬のクラフト用品が詰まった箱。\n\n開く前に、空の在庫スロットが少なくとも 5 つあることを確認してください。\n\n床に置いて収集します。"
Backpack,バックパック
BackpackDesc,"このバックパックにはさらに 2 つの在庫スロットが追加されます"
"WorkbenchRepairKit",作業台修理キット
Lighter,ライター（[4FC3F7]光源[-]）
attTrainingName, 
attTrainingDesc, 
skillTrainingSurvivalName, 
S.T.A.R.STrainingManual,S.T.A.R.S訓練マニュアル
TrainingManualDesc,S.T.A.R.S.の一員として特別な訓練を受けたあなたは、その訓練を生かして生き残りをかけて戦うのです！\n\n6種類ある特典の内容をよく読んで、特典のレベル数を把握し、貴重な「訓練マニュアル」を無駄にしないようにしましょう。\n\n訓練マニュアルは3しか無いので、注意深く選択してください。
PainToleranceTraining,疼痛耐性トレーニング
PassiveHealingTraining,パッシブヒーリングトレーニング
MedicalKnowledgeTraining,医療知識研修
KnifeTrainedTraining,ナイフトレーニング
ChemistExpertTraining,化学者専門家トレーニング
CardioTraining,有酸素トレーニング
ClassicModeJill,クラシックモード (ジル)
ClassicModeChris,クラシックモード (クリス)
ClassicModeName,クラシックモード (ジル)
ClassicModeChrisName,クラシックモード (クリス)
perkClassicModeJillDesc,"古典的なバイオハザードのような制限付きでゲームをプレイします。\n\n1: インベントリスロットが少なくなります。\nジルには 8 スロット、クリスには 6 スロットがあります。\n\n2:リロード中は移動できません。リロードが速くなります。\n(ロケットランチャーを除く)\n照準を合わせている間は移動できず、照準を合わせずに発砲することもできません。\n\n3: 弾薬やクローゼットルームのアイテムは作成できません。\n\nジル： 体力 2000、15 防御、医学の知識、有酸素トレーニング。"
perkClassicModeChrisDesc,"古典的なバイオハザードのような制限付きでゲームをプレイします。\n\n1: インベントリスロットが少なくなります。\nジルには 8 スロット、クリスには 6 スロットがあります。\n\n2:リロード中は移動できません。リロードが速くなります。\n(ロケットランチャーを除く)\n照準を合わせている間は移動できず、照準を合わせずに発砲することもできません。\n\n3: 弾薬やクローゼットルームのアイテムは作成できません。\n\nクリス： 体力 2500、15 防御、医学知識、ナイフダメージ、有酸素トレーニング、+25%、グレネードランチャーは使用できません。"
perkPainToleranceNameRE,痛みに対する耐性
perkPainToleranceDescRE,最大体力が 600 増加します。\n受けるダメージを15%軽減\n\n(体力も600回復)
perkPassiveHealingName,パッシブヒーリング
perkPassiveHealingDesc,4秒ごとに体力を1回復します。
perkCardioName,有酸素運動
perkCardioDesc,スプリント中のスタミナの消耗が 50% 遅くなります。\nスプリントが 10% 速くなります。
perkKnifeTrainedName,訓練されたナイフ
perkKnifeTrainedDesc,与えるダメージが 25% 増加します。\n攻撃が25%速くなります。\n通常攻撃でのスタミナ消耗が 3 減少する\nパワーアタックのスタミナが 6 減少します。
perkMedicalKnowledgeName,医学知識
perkMedicalKnowledgeDesc,医療アイテムの効果は 35% 高くなります。\n\nマルチプレイヤーでは、同じ利益を得るためにパートナーを回復することができます。
perkChemistExpertName,化学の専門家
perkChemistExpertDesc,弾薬を作成する際に必要な火薬が 25% 減少します。\n火薬を作成する際に必要な硝酸塩と石炭の量は 20% 削減されます。
meleeTorchRE,松明
Torchdesc,[F]でオン/オフ
ClassicModeInventoryBlocker,クラシックモードのインベントリブロッカー
ClassicModeInventoryBlockerDesc,"クラシック モードをプレイしています。このインベントリ スロットは永久にブロックされています。"
SurvivalKnife,サバイバルナイフ
SurvivalKnifedesc,"ジルのナイフ。\n狭い場所での戦闘や、動物の解体に使用します。\n\nスプリント攻撃: 切断確率 +15%。\nスタミナ > 50%: 切断確率 +10%。\n(攻撃後に計算)\n\n\n"
statStaminaLossPower,スタミナコスト (パワーアタック)
S.T.A.R.SHandgun,S.T.A.R.S ハンドガン
Handgundesc,"S.T.A.R.S の標準装備、　9x19mmパラベラム弾を使用するハンドガン。\n\n\n"
"MagnumRevolver",マグナムリボルバー
Magnumdesc,"非常に強力なハンドガン。\n.357マグナム弾を使用します。\n\n\n"
"PumpShotgun",ポンプショットガン
AssaultShotgun,アサルトショットガン
Shotgundesc,"広範囲攻撃が可能な武器。\n12ゲージショットガンシェルを使用します。\n古くて使い古されているため、発射速度が遅いです。\n\n誰かの足を外す絶好のチャンス！\n\n\n"
AK-47,AK-47アサルトライフル
Rifledesc,"ピンチの時に役に立つアサルトライフル。\n\n\n"
GrenadeLauncher,グレネードランチャー
"RocketLauncher",ロケットランチャー
Launcherdesc,"フォレスト・スパイヤーのお気に入りの武器。\n破壊力のある武器。\n爆風に巻き込まれないように注意してください。\n\n3 種類のシェルをロードできます。\n手榴弾、酸、焼夷弾。"
QuadRocketLauncher,クアッドロケットランチャー
MilitaryGoods,軍事用品
MilitaryGoodsdesc,"秘密のクローゼットで見つけた軍用装備。"
BulletProofVest,防弾チョッキ
Vestdesc,この防護ベストはダメージを 25% 軽減します。\n痛み耐性とスタックします。
Bandolier,弾帯
Bandolierdesc,"これを着用している間はリロード時間が 40% 短縮され、リロード中に機動性が低下することはなくなります。"
armorJillClothingDesc,"S.T.A.R.Sの標準ユニフォーム。\n\nダメージからは守ってくれませんが、暑さや寒さからは守ってくれます。"
armorJillOutfit,ジルの制服
armorJillGloves,ジルの手袋
armorJillBoots,ジルのブーツ
modGunSoundSuppressorSilencerRE,ハンドガンサプレッサー
SuppressorDesc,"このサプレッサーをハンドガンに取り付けると、クリティカルヒット率が 4 倍になります。\nダメージは増加しません。\n\nタフな敵には効かない。\n\n\n"
modMeleeSerratedBladeRE,鋸歯状の刃
SerratedBladeDesc,"このナイフアタッチメントは四肢切断の可能性を 40% 増加させます。\n\n(ダメージは増えない)"
apparelToughGuySunglasses,ウェスカーのサングラス
ammo9mmBulletBallRE,9x19mmパラベラム弾
ammo9mmBulletHPRE,ハイパワー9x19mmパラベラム弾
ammo44MagnumBulletBallRE,.357マグナム弾
ammo44MagnumBulletHPRE,ハイパワー.357マグナム弾
ammo762mmBulletBallRE,7.62ライフル弾
ammo762mmBulletHPRE,ハイパワー7.62ライフル弾
ammoShotgunShellRE,12ゲージショットガンシェル
ammoShotgunSlugRE,ショットガンスラッグ弾
ammoRocketHERE,対タイラントロケットフラグ弾
ammoRocketFragRE,ロケットフラグ弾
ammoGrenadeExplosiveRE,手榴弾ラウンド
