Key,german
EmptyBottledesc,"Eine Flasche die zum Mischen von Chemikalien verwendet wird.\n\nAuffüllen mit der sekundären Aktion."
FilledBottledesc,Eine Flasche mit Flüssigkeit gefüllt.
MixingBottledesc,Zwei Flüssigkeiten miteinander vermischt.
VJoltdesc,"Eine starke Chemikalie, die die Pflanze schwächen kann 42.\n\nDrücke die Taste [action:permanent:Activate], um sie zu verwenden."
Crestdesc,Ein sechseckiges Wappen.
BrokenShotgundesc,"Eine Schrotflinte, die irreparabel beschädigt ist."
Herbicidedesc,"Eine Chemikalie, die zum Abtöten von Pflanzen verwendet wird."
MetalObjectdesc,Ein achteckiges Objekt, das die Tür zum Innenhof aufschließen wird.
StoneRingdesc,Ein Ring aus Stein mit einer achteckigen Form
MetalObject2desc,Ein achteckiges Objekt aus Metall.
StoneMetalObjectdesc,Dadurch wird die Tür hinter der Treppe in der Haupthalle des Herrenhauses geöffnet.
Cylinderdesc,"Sieht aus, als ob etwas in das Loch gehört."
Shaftdesc,"Es sieht so aus, als ob eine Art Ring fehlt."
CylinderShaftdesc,Damit wird der Generator in der Mine betrieben.
FuelSupplyEmptydesc,"Eine leere Kapsel, die als Treibstoffbehälter für eine Energiequelle dient.\n\nFüll Sie mit etwas Eiskaltem\n\n[FF4F00]WARNUNG!\nDer Hauptbestandteil dieses Kraftstoffs scheint eine Nitroverbindung zu sein. Das „Laufenlassen“ kann zu einer tödlichen Explosion führen.[-]"
FuelSupplydesc,"Benutze dies, um das Rolltor aufzutanken.\n\n[FF4F00]WARNUNG!\nDer Hauptbestandteil dieses Kraftstoffs scheint eine Nitroverbindung zu sein. Das „Laufenlassen“ kann zu einer tödlichen Explosion führen.[-]"
JewelryBox2desc,"Eine geheimnisvolle Kiste, was ist darin?"
JewelryBoxdesc,"Jetzt ist sie geöffnet, was ist da drin?"
RedGemstonedesc,Dieser kleine Stein ist ein Vermögen wert...
LockedBoxdesc,Sicher verriegelt
PrisonKey,Eine Diskette mit der Aufschrift „MO“.
GyrocopterDesc,"Jetzt kannst du durch den Ausgang des Labors zum Hubschrauberlandeplatz gehen."
REkeys,Drücke die Taste [action:permanent:Activate], während du eine verschlossene Tür betrachten.
Jill's_LockPick,Jill's Dietrich
SwordKey,Schwertschlüssel
TerraceKey,Terrassenschlüssel
ArmourKey,Rüstungsschlüssel
ClosetKey,Schrankschlüssel
ShieldKey,Schildschlüssel
HelmetKey,Helmschlüssel
EmblemKey,Wappenschlüssel
WolfBook,Wolf-Buch
WolfMedal,Wolf-Medaille
EagleBook,Adler-Buch
EagleMedal,Adler-Medaille
DeathMaskWithoutEyes,Totenmaske ohne Augen
DeathMaskWithoutMouth,Totenmaske ohne Mund
DeathMaskWithoutNose,Totenmaske ohne Nase
DeathMaskWithoutAllThree,Todesmaske ohne alles
LaboratoryKey,Laborschlüssel
MODisc,MO Diskette
EmptyBottle,Leere Flasche
EmptyWaterBottle,Leere Wasserflasche
EmptyUMB-No3Bottle,Leere UMB-Nr.3 Flasche
EmptyYellow-6Bottle,Leere Gelb-6 Flasche
WaterFilled,Wasser (Gefüllt)
UMB-No3Filled,UMB-No3 (Gefüllt)
Yellow-6Filled,Gelb-6 (Gefüllt)
NP-004Filled,NP-004 (Gefüllt)
UMB-No7Filled,UMB-No7 (Gefüllt)
UMB-No10Filled,UMB-No10 (Gefüllt)
VP-017Filled,VP-017 (Gefüllt)
NP-004Mixing,NP-004 (Gemixt)
UMB-No7Mixing,UMB-No7 (Gemixt)
UMB-No10Mixing,UMB-No10 (Gemixt)
VP-017Mixing,VP-017 (Gemixt)
V-Jolt,V-Jolt
WindCrest,Wind-Wappen
MoonCrest,Mond-Wappen
StarCrest,Stern-Wappen
SunCrest,Sonnen-Wappen
BrokenShotgun,Kaputte Schrotflinte
Herbicide,Unkrautvernichter
MetalObject,Metallobjekt
StoneRing,Steinring
MetalObject2,Metallobjekt
StoneandMetalObject,Stein- und Metallobjekt
WD-40Spray,WD-40 Spray
UnprintedBook,Unbedrucktes Buch
ClawHammer,Klauenhammer
ClawhammerDesc,Damit kann ich die Leiter reparieren!
Battery,Batterie
Spraydesc,"Eine schmierende Flüssigkeit, die zum Lösen der Verbindungen von Metallgegenständen verwendet wird."
Cylinder,Zylinder
Shaft,Schaft
CylinderShaft,Zylinder Schaft
FuelSupplyCapsuleEmpty,Treibstoffversorgungskapsel (leer)
FuelSupplyCapsule,Treibstoffversorgungskapsel
Green_Herb,Grünes Kraut
MixedGreenHerb,Grünes Kraut gemischt
Mixed3GreenHerbs,3 grüne Kräter gemischt
MixedGreen+RedHerb,Grünes+rotes Kraut gemischt
MixedGreen+BlueHerb,Grünes+blaues Kraut gemischt
Mixed2Green+BlueHerb,2 Grüne+blaues Kraut gemischt
MixedGreen+Red+BlueHerb,Grünes+rotes+blaues Kraut gemischt
Red_Herb,Rotes Kraut
Blue_Herb,Blaues Kraut
FirstAidSpray,Erste-Hilfe-Spray
FirstAidSprayBox,Erste-Hilfe-Spray-Bündel
FirstAidSprayBoxDesc,"Kann nur im klassischen Modus hergestellt werden."
Military-GradeDuctTape,Militärisches Klebeband
JewelryBox2,Schmuckkästchen
JewelryBox,Schmuckkästchen
KeytoRoom001,Schlüssel Raum 001
KeytoRoom003,Schlüssel Raum 003
GalleryKey,Galerieschlüssel
ControlRoomKey,Kontrollraumschlüssel
RedGemstone,Roter Edelstein
LockedJewelryBox,Verschlossenes Schmuckkästchen
MasterKey,Generalschlüssel

doors
ttLockpickMissing,Rührt sich nicht...
DoubleMansionDoorBrown,Entriegelt
DoubleMansionLockedDoorBrown,Klemmt
DoubleShieldDoorBrown,Verschlossen
DoubleMansionDoorBrownOld,Entriegelt
commercialMansionWindowDoorBlue,Entriegelt
commercialLockedMansionWindowDoorBlue,Klemmt
commercialMansionWindowDoorGrey,Entriegelt
commercialMansionDoorDoubleBlue,Entriegelt
commercialLockedMansionDoubleDoorBlue,Klemmt
commercialMansionDoorDoubleGrey,Entriegelt
commercialMansionDoorBlue,Entriegelt
commercialMansionMetalObjectDoorBlue,Verschlossen
commercialLabMansionDoorBlue,Verschlossen
commercialMansionDoorGrey,Entriegelt
commercialMansionMasterDoorGrey,Verschlossen
commercialMansionLockedDoorBlue,Klemmt
ironMansionDoorGrey,Entriegelt
ironMansionMOdisc1DoorGrey,Verschlossen
ironMansionMOdisc2DoorGrey,Verschlossen
ironMansionMOdisc3DoorGrey,Verschlossen
ironMansionDoorOrange,Entriegelt
ironMansionLockedDoorOrange,Klemmt
ironControlDoorOrange,Verschlossen
ironMansionLockableDoorGrey,Klemmt
ironMansionDoorBlack,Entriegelt
DoorThatSeesSpeaksSmellsNoEvil,Verschlossen
DoorThatSmellsNoEvil,Verschlossen
DoorThatSpeaksNoEvil,Verschlossen
DoorThatSeesNoEvil,Verschlossen
SingleMansionDoorBrown,Entriegelt
SingleMansionDoorGrey,Entriegelt
SingleArmourDoorGrey,Verschlossen
SingleMansionDoorBrown2,Entriegelt
SingleMansionDoorGrey2,Entriegelt
SinglePlantRoomDoorGrey2,Verschlossen
SingleLockedMansionDoorBrown,Klemmt
SingleSwordDoorBrown,Verschlossen
SingleSwordDoorWhite,Verschlossen
SingleSwordDoorBrown2,Verschlossen
SingleArmourDoorBrown,Verschlossen
SingleTerraceDoorBrown,Verschlossen
SingleClosetDoorBrown,Verschlossen
SingleMansionDoorOldBrown,Entriegelt
MansionArmourDoorOldBrown,Verschlossen
MansionRoom001DoorOldBrown,Verschlossen
MansionRoom003DoorOldBrown,Verschlossen
MansionGalleryDoorOldBrown,Verschlossen
SingleMansionDoorOldGrey,Entriegelt
SingleSwordMansionDoorOldGrey,Verschlossen
SingleSwordDoorOldBrown,Verschlossen
SingleHelmetDoorWhite,Verschlossen
SingleHelmetDoorBrown,Verschlossen
SingleMansionDoorOldOak2,Entriegelt
SingleMansionDoorOldGrey2,Entriegelt
SingleLockedDoorOldGrey2,Verschlossen
SingleLockedDoorOldoak2,Verschlossen
SingleShieldDoorOldOak2,Verschlossen
SingleBookDoorOldOak2,Verschlossen
SingleEmblemDoorOldOak2,Verschlossen
SinglePianoDoorOldOak2,Verschlossen
IronLockedMansionDoorWhite,Verschlossen
IronArmourMansionDoorWhite,Verschlossen
jailMansionDoorWhite,Entriegelt
DoubleMansionDoorWhite,Entriegelt
DoubleMansionDoorWhiteOld,Entriegelt
commercialMansionWindowDoorWhite,Entriegelt
commercialMansionDoorDoubleWhite,Entriegelt
commercialMansionDoorWhite,Entriegelt
ironMansionDoorWhite,Entriegelt
SingleMansionDoorWhite,Entriegelt
SingleMansionDoorWhite2,Entriegelt
SingleMansionDoorOldWhite,Entriegelt
SingleMansionDoorOldWhite2,Entriegelt
jailMansionDoorGrey,Entriegelt
jailMansionUnpoweredDoorGrey,Kein Strom
jailMansionLockedDoorGrey,Klemmt
jailMansionDoorDoubleWhite,Entriegelt
jailMansionDoorDoubleGrey,Entriegelt
jailMansionLockedDoorDoubleGrey,Klemmt
jailStoneObjectDoorDoubleGrey,Verschlossen
oldMansionDoor,Entriegelt
oldShieldDoor,Verschlossen
oldMansionDoubleDoor,Entriegelt
ironMansionDoorDoubleWhite,Entriegelt
ironMansionDoorDoubleArmyGreen,Entriegelt
ironMansionDoorDoubleBlack,Entriegelt
ironMansionLabDoorDoubleBlack,Verschlossen
ironMansionWD40DoorDoubleBlack,Verrostet
ironMansionLockedDoorDoubleBlack,Klemmt
ironArmourDoorDoubleArmyGreen,Verschlossen
SingleWolfDoorBrown,Verschlossen
SingleEagleDoorBrown,Verschlossen
GyrocopterRE,Tragschrauber
elevatorMansionGyroDoorDouble,Verschlossen
elevatorMansionDoorDouble,Entriegelt
GrandPiano,Großes Klavier
InsertWindCrest,Wind-Wappen einsetzen
InsertMoonCrest,Mond-Wappen einsetzen
InsertStarCrest,Stern-Wappen einsetzen 
InsertSunCrest,Sonnen-Wappen einsetzen
InsertBrokenShotgun,Kaputte Schrotflinte ablegen
Plant42'sRoots,42's Pflanzenwurzeln - {0}
Plant42'sPoisonedRootsHittoDestroy,Vergiftete 42's Pflanzenwurzeln\n(Schlagen zum Aufheben)
MineshaftHatchControlInsertCylinderShaft,Verschlossen
MineshaftHatchControl,Kontrolle der Minenschachtluke
LaboratoryComputer,Labor Computer
UnpoweredRollerShutterNeedsRefueling,Kein Strom
PoweredRollerShutter,Elektrisches Rolltor
AK-47HittoPickup,AK-47\n(Schlagen zum Aufheben)
QuadRocketLauncherHittoPickup,Vierfacher Raketenwerfer\n(Schlagen zum Aufheben)
LockedSuperRocket,Zuerst Schalter drücken
PumpShotgunHittoPickup,Schrotflinte\n(Schlagen zum Aufheben)
AssaultShotgunBlock,Sturmflinte\n(Schlagen zum Aufheben)
MagnumRevolverHittoPickup,Magnum Revolver\n(Schlagen zum Aufheben)
RocketLauncherHittoPickup,Granatenwerfer\n(Schlagen zum Aufheben)
HandgunAmmoHittoPickup,Handwaffen-Muni\n(Schlagen zum Aufheben)
ShotgunAmmoHittoPickup,Schrotflinten-Muni\n(Schlagen zum Aufheben)
MagnumAmmoHittoPickup,Magnum-Muni\n(Schlagen zum Aufheben)
RocketAmmoHittoPickup,Raketen-Muni\n(Schlagen zum Aufheben)
GrenadeExplosiveHittoPickup,Granatengeschosse\n(Schlagen zum Aufheben)
GrenadeAcidHittoPickup,Säuregeschosse\n(Schlagen zum Aufheben)
GrenadeFlameHittoPickup,Brandbomben\n(Schlagen zum Aufheben)
SuperRocket,Raketen-Muni\n(Schlagen zum Aufheben)
AssaultRifleAmmoHittoPickup,Sturmgewehr-Muni\n(Schlagen zum Aufheben)
HandGrenadeHittoPickup,Klebrige Granate\n(Schlagen zum Aufheben)
9mmBullet,9×19mm Parabellum Bündel
Dismantle9mmAmmo,9×19mm Parabellum Bündel zerlegen
9mmHPBullet,HiPower 9×19mm Parabellum Bündel
44MagnumBullet,.357 Magnum Bündel
Dismantle.44Ammo,.357 Magnum Bündel zerlegen
44MagnumHPBullet,HiPower .357 Magnum Bündel
762Bullet,7.62 Gewehrmuni Bündel
Dismantle7.62Ammo,7.62 Gewehrmuni Bündel zerlegen
762HPBullet,HiPower 7.62 Gewehrmuni Bündel
ShotgunShell,Kaliber 12 Schrotflintenpatronen
DismantleShotgunShells,Kaliber 12 Schrotflintenpatronen zerlegen
ShotgunSlug,Schrotflintengeschoss
LockedAmmoChest,Verschlossene Munikiste
AmmoChestCollect,Muni-Herstellungsset (Schlagen zum Aufheben)
AmmoChestCollectDesc,"Eine Kiste voller Munitionszubehör.\n\nAchte darauf, dass du mindestens 5 leere Inventarplätze hast, bevor du sie öffnest!\n\nPlatziere sie zum Sammeln auf dem Boden."
AmmoCraftingBundleDesc,"Eine Kiste voller Munition Zubehör.\n\nEnthält Folgendes:\n2400 Schießpulver.\n45 Patronenhülsen.\n45 Kugelspitzen.\n15 Schrotkugeln.\n30 Kunststoff."
Backpack,Rucksack
BackpackDesc,"Dieser Rucksack gibt dir 2 zusätzliche Inventarplätze"
S.T.A.R.STrainingManual,S.T.A.R.S Trainingshandbuch
attTrainingName, 
attTrainingDesc, 
skillTrainingSurvivalName, 
TrainingManualDesc,"Als S.T.A.R.S. Mitglied hast du eine spezielle Ausbildung genossen, und jetzt musst du deine Ausbildung nutzen, um für dein Überleben zu kämpfen!\n\nLese genau, was jede der 6 verfügbaren Begünstigungen bewirkt.\n\nEs gibt nur 3 Ausbildungshandbücher, also wähle weise!"
PainToleranceTraining,Schmerztoleranztraining
PassiveHealingTraining,Passives Heilungstraining
MedicalKnowledgeTraining,Medizinisches Wissenstraining
KnifeTrainedTraining,Messertraining
ChemistExpertTraining,Chemie Expertentraining
CardioTraining,Kardiotraining
ClassicModeJill,Klassischer Modus (Jill)
ClassicModeChris,Klassischer Modus (Chris)
ClassicModeName,Klassischer Modus (Jill)
ClassicModeChrisName,Klassischer Modus (Chris)
perkClassicModeJillDesc,"Spiele das Spiel mit Einschränkungen wie im klassischen Resident Evil.\n\n1: Du hast weniger Inventarslots.\nJill hat 8 Slots, Chris hat 6 Slots.\n\n2: Du kannst dich nicht bewegen, während du nachlädst. Nachladen geht schneller.\n(Mit Ausnahme des Raketenwerfers)\nDu kannst dich nicht bewegen, während du zielst, und du kannst nicht schießen, ohne zu zielen.\n\n3: Du kannst keine Muni oder Gegenstände herstellen.\n\nJill: 2000 HP, 15 Verteidigung, Medizinisches Wissen, Kardio-Training."
perkClassicModeChrisDesc,"Spiele das Spiel mit Einschränkungen wie im klassischen Resident Evil.\n\n1: Du hast weniger Inventarslots.\nJill hat 8 Slots, Chris hat 6 Slots.\n\n2: Du kannst dich nicht bewegen, während du nachlädst. Nachladen geht schneller.\n(Mit Ausnahme des Raketenwerfers)\nDu kannst dich nicht bewegen, während du zielst, und du kannst nicht schießen, ohne zu zielen.\n\n3: Du kannst keine Muni oder Gegenstände herstellen.\n\nChris: 2500 HP, 15 Verteidigung, Medizinisches Wissen, Kardio-Training, +25% Messerschaden und kannst den Raketenwerfer nicht benutzen."
perkPainToleranceNameRE,Schmerztoleranz
perkPainToleranceDescRE,Erhöht deine max. HP um 600. Verringert den erlittenen Schaden um 15% (heilt auch 600).
perkPassiveHealingName,Passive Heilung
perkPassiveHealingDesc,Heilt passiv alle 4 Sekunden 1 HP.
perkCardioName,Kardio
perkCardioDesc,Die Ausdauer wird beim Sprinten um 50 % langsamer verbraucht. 10 % schnelleres Sprinten.
perkKnifeTrainedName,Messer ausgebildet
perkKnifeTrainedDesc,Füge 25 % mehr Schaden zu. Greife 25 % schneller an. Verbrauche 3 weniger Ausdauer bei normalen Angriffen und 6 weniger Ausdauer bei Schweren-Angriffen.
perkMedicalKnowledgeName,Medizinisches Wissen
perkMedicalKnowledgeDesc,Medizinische Gegenstände sind 35 % stärker.
perkChemistExpertName,Experte für Chemie
perkChemistExpertDesc,Beim Herstellen von Munition benötigst du 25% weniger Schießpulver. Beim Herstellen von Schießpulver benötigst du 20% weniger Nitrat und Kohle.
meleeTorchRE,Fackel
Torchdesc,Ein/Ausschalten mit [F]
ClassicModeInventoryBlocker,Klassischer Modus Inventar-Blocker
ClassicModeInventoryBlockerDesc,"Du spielst im klassischen Modus, dieser Inventarplatz ist dauerhaft blockiert."
SurvivalKnife,Survival-Messer
SurvivalKnifedesc,"Jill's speziell angefertigtes Messer, ideal für den Nahkampf und zum zerlegen von Tieren.\n\nSprint-Attacke: +15% Zerstückelungschance.\nAusdauer > 50%: +10% Zerstückelungschance.\n(Wird nach dem Angriff berechnet)\n\n\n"
statStaminaLossPower,Ausdauerkosten (Kraftangriff)
S.T.A.R.SHandgun,S.T.A.R.S Handwaffe
Handgundesc,"Eine speziell angefertigte S.T.A.R.S. standard Handfeuerwaffe, schießt mit 9×19mm parabellum Kugeln.\n\n\n"
MagnumRevolver,Magnum Revolver
Magnumdesc,"Ein schwerer Magnum-Revolver, eine extrem starke Handfeuerwaffe. Schießt mit .357 magnum Kugeln.\n\n\n"
PumpShotgun,Schrotflinte
AssaultShotgun,Sturmflinte
Shotgundesc,"Schießt mit Schrotpatronen Kaliber 12. Eine Waffe, die weit schießen kann. Sie ist alt und abgenutzt und hat eine langsame Feuerrate!\n\n\n"
AK-47,AK-47 Sturmgewehr
